id,partes_cuerpo,daño_enfermedad,causante,gravedad,estado,recogido,observa,peso
45,aleta,necrosis,indeterminado,alta,indeterminado,indeterminado,Amputada 15 Septiembre 2009,
46,aleta,necrosis,indeterminado,alta,indeterminado,indeterminado,Amputada 15 Septiembre 2009,
47,aleta,"necrosis, amputación",indeterminado,alta,indeterminado,indeterminado,"amputada, necrosada, fecha 15 Septiembre 2009",
48,aleta,"corte, inflamación, amputada",indeterminado,alta,indeterminado,indeterminado,,
49,aletas,cortes,indeterminado,baja,indeterminado,indeterminado,"Pequeños cortes en las aletas delanteras, bien.",
50,aleta,"corte, necrosis",indeterminado,alta,indeterminado,indeterminado,Avisar para la suelta,
51,aleta,"amputación, exposición ósea",personas,alta,indeterminado,indeterminado,Amputada con anestesia local el 03 Septiembre,
52,aleta,inflamación,enmallamiento,media,indeterminado,indeterminado,,
53,aleta,necrosis,indeterminado,alta,indeterminado,indeterminado,necrosada,
54,boca,mordida,indeterminado,media,indeterminado,indeterminado,Nylon presente en boca.,
55,aleta,amputación,indeterminado,alta,indeterminado,indeterminado,Amputación de aleta delantera izquierda el 18 de Agosto 2009,
56,indeterminado,putrefacción,indeterminado,fatal,muerto,indeterminado,"Se lleva directamente al contenedor, dando olor",
57,caparazón,contaminación,musgo,baja,indeterminado,indeterminado,Avistada flotando a la deriva,
58,cuerpo entero,parasitacion,"musgo, percebes",media,débil,indeterminado,,
59,aleta,"inflamación, enmallada",indeterminado,media,muy activa,indeterminado,,
61,aleta,enmallado,indeterminado,media,indeterminado,indeterminado,,
62,aleta,necrosis,indeterminado,alta,indeterminado,indeterminado,Aleta amputada el 4/08,
63,aleta,corte,indeterminado,media,indeterminado,indeterminado,,
64,cuello,corte,indeterminado,media,indeterminado,indeterminado,Se restaura el 23/7.,
65,aleta,amputación,indeterminado,alta,indeterminado,indeterminado,,
66,aleta,inflamación,indeterminado,media,indeterminado,indeterminado,,
68,indeterminado,indeterminado,indeterminado,indeterminado,indeterminado,indeterminado,Olor muy intenso,
69,aleta,inflamación,indeterminado,media,indeterminado,indeterminado,Aleta delantera izquierda inflamada,
70,aleta,inflamación,indeterminado,media,débil,indeterminado,,
71,aleta,inflamación,globo de radio sonda,media,indeterminado,indeterminado,Enredada a restos de globo de radio sonda,
72,aleta,amputación,indeterminado,alta,indeterminado,indeterminado,Amputación realizada el 19/05/09,"3,400Kg"
73,aleta,amputación,indeterminado,alta,indeterminado,indeterminado,"Amputada el 19/05/09, peso 18 Kg.",
74,aleta,inflamación,indeterminado,media,indeterminado,indeterminado,No se amputa de momento,"7,8 Kg"
75,cabeza,golpe,indeterminado,alta,muerto,indeterminado,animal descompuesto,
76,aleta,luxación,indeterminado,media,muerto,indeterminado,Flotaba con musgos y cirrípedos,
77,aleta,necrosis,indeterminado,alta,débil,indeterminado,"Se amputa el 7/mayo, come bien","2,2 Kg."
78,aleta,amputada,natural,alta,indeterminado,indeterminado,,
79,aletas,necrosis,indeterminado,alta,indeterminado,indeterminado,necrosis en codos de aletas delanteras,
80,caparazón,rotura,hélice,alta,muerto,PIRS,descompuesta,
81,cuerpo entero,contaminación,petróleo,media,débil,indeterminado,"Peso inicial 847 gr, peso 1,200 al liberarse, flota",
82,caparazón,rotura,indeterminado,alta,flaca,indeterminado,"Se tunea el 23.01.09, en el CRFS el 10 de febrero de 2010",
83,caparazón,heridas,indeterminado,media,débil,indeterminado,Flaca,
84,cabeza,golpe,indeterminado,media,indeterminado,indeterminado,,
85,aleta,enmallamiento,indeterminado,media,indeterminado,indeterminado,,
87,aleta,corte,indeterminado,media,indeterminado,indeterminado,,
88,indeterminado,putrefacción,indeterminado,fatal,muerto,indeterminado,Animal descompuesto,
89,cuello,golpe,indeterminado,baja,indeterminado,indeterminado,pequeño golpe bajo el cuello,
90,cuello,inflamación,nylon,media,indeterminado,indeterminado,restos de nylon en la boca,
91,caparazón,herida,indeterminado,media,débil,indeterminado,Flaca,
92,indeterminado,indeterminado,indeterminado,indeterminado,indeterminado,indeterminado,"Muy grande, 60 a 70 kg.",
93,aleta,marca,indeterminado,baja,indeterminado,indeterminado,pequeña marca en aleta delantera,
94,aleta,inflamación,indeterminado,media,indeterminado,indeterminado,Aleta delantera y trasera izquierda inflamadas,
95,caparazón,golpe,indeterminado,baja,indeterminado,indeterminado,"golpe en la parte posterior del caparazón, estado general bueno",
96,aleta,necrosis,indeterminado,alta,indeterminado,indeterminado,,
97,indeterminado,putrefacción,indeterminado,fatal,muerto,indeterminado,"Descompuesta, no enmallada",
98,boca,"contaminación, parasitación","nylon, anzuelo, percebes",media,débil,indeterminado,"flaca, 14,9 Kg",
100,aleta,amputación,indeterminado,alta,indeterminado,indeterminado,Aleta delantera derecha amputada.,
